Order Date,Order ID,Payment Instrument Type,Website,Shipment Date,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
07/06/07,103-2764742-3491028,Visa - 1453,Amazon.com,07/06/07,MA,01970-1947,Shipped,,$14.40,$9.50,$0.00,$0.00,$0.00,$23.90
09/22/08,104-7596537-6649000,Visa - 1453,Amazon.com,09/23/08,MA,01970-1947,Shipped,UPS(1Z4137VY0340540107),$39.95,$9.99,$0.00,$0.00,$0.00,$49.94
02/11/11,102-5161586-1874623,Gift Certificate/Card,Amazon.com,02/15/11,MA,1970,Shipped,UPS(1Z787Y561244238320),$9.65,$3.43,$0.00,$3.43,$0.00,$9.65
02/11/11,102-5161586-1874623,Gift Certificate/Card,Amazon.com,02/15/11,MA,1970,Shipped,USPS(9102901001302207651788),$23.91,$3.98,$0.00,$3.98,$0.00,$23.91
02/11/11,102-5161586-1874623,Gift Certificate/Card,Amazon.com,02/13/11,MA,1970,Shipped,USPS(9102901001298212501449),$19.95,$2.32,$0.00,$2.32,$0.00,$19.95
03/13/11,102-8263609-3801816,Gift Certificate/Card and MasterCard - 4537,Amazon.com,03/16/11,MA,01970-1947,Shipped,FedEx- Ohio Poster and Prints(398894870240114),$5.33,$6.96,$0.77,$0.00,$0.77,$13.06
08/04/12,103-1389346-6390645,Visa - 2507 and Gift Certificate/Card,Amazon.com,08/06/12,MA,01970-2102,Shipped,LASERSHIP(LI12006289),$27.80,$5.48,$0.00,$5.48,$0.00,$27.80
08/04/12,103-3030284-7147448,Visa - 2507 and Gift Certificate/Card,Amazon.com,08/06/12,MA,01970-2102,Shipped,US Postal Service(9102999999335848599761),$5.76,$0.00,$0.00,$0.00,$0.00,$5.76
06/15/13,110-8382095-7193804,Gift Certificate/Card,Amazon.com,06/17/13,MA,01970-1252,Shipped,USPS(9400111201080125307993),$7.50,$0.00,$0.00,$0.00,$0.00,$7.50
06/22/13,104-9711587-7350669,Visa - 4427,Amazon.com,06/26/13,MA,01970-1252,Shipped,UPS(1ZW2258A0308439105),$199.00,$45.49,$0.00,$45.49,$0.00,$199.00
06/22/13,104-9434759-7112232,Visa - 4427 and Gift Certificate/Card,Amazon.com,06/25/13,MA,01970-1252,Shipped,USPS(9261297641999741052423),$728.20,$12.46,$0.00,$12.46,$0.00,$728.20
06/23/13,104-0907202-1340269,Visa - 4427,Amazon.com,06/24/13,MA,01970-1252,Shipped,USPS(9400110200829841504392),$12.95,$2.95,$0.00,$0.00,$0.00,$15.90
06/26/13,104-6705489-5323435,Visa - 4427,Amazon.com,06/27/13,MA,01970-1252,Shipped,USPS(9102932508025320962563),$4.94,$3.99,$0.00,$0.00,$0.00,$8.93
07/13/13,103-5414589-8603445,Visa - 4427,Amazon.com,07/15/13,MA,01970-1252,Shipped,UPS(1Z602AV71315565903),$31.71,$0.00,$0.00,$0.00,$0.00,$31.71
07/15/13,103-6256228-9085065,Visa - 4427,Amazon.com,07/15/13,MA,01970-1252,Shipped,UPS(1Z88Y72A0302953240),$21.49,$0.00,$0.00,$0.00,$0.00,$21.49
07/16/13,103-9499432-9253819,Visa - 4427,Amazon.com,07/17/13,MA,01970-1252,Shipped,UPS(1Z104AF90286258217),$5.99,$0.00,$0.00,$0.00,$0.00,$5.99
07/16/13,103-1999427-5962612,Visa - 4427,Amazon.com,07/17/13,MA,01970-1252,Shipped,USPS,$0.01,$3.99,$0.00,$0.00,$0.00,$4.00
07/19/13,002-4624116-1071459,Visa - 4427,Amazon.com,07/22/13,MA,01970-1252,Shipped,USPS,$0.28,$3.99,$0.00,$0.00,$0.00,$4.27
07/19/13,002-1624771-5197831,Visa - 4427,Amazon.com,07/20/13,MA,01970-1252,Shipped,USPS(9274897641999852008148),$7.49,$0.00,$0.00,$0.00,$0.00,$7.49
07/20/13,002-0800188-7033028,Visa - 4427,Amazon.com,07/21/13,MA,01970-1252,Shipped,LASERSHIP(LB10946554),$16.50,$0.00,$0.00,$0.00,$0.00,$16.50
07/21/13,002-1768148-8908217,Visa - 4427,Amazon.com,07/23/13,MA,01970-1252,Shipped,HongKong post(30217900300),$3.90,$0.00,$0.00,$0.00,$0.00,$3.90
07/21/13,002-4023156-5184229,Visa - 4427,Amazon.com,07/22/13,MA,01970-1252,Shipped,USPS(9449011201238279528333),$13.00,$3.99,$0.00,$0.00,$0.00,$16.99
07/21/13,002-9833060-6517038,Visa - 4427,Amazon.com,07/23/13,MA,01970-1252,Shipped,UPS(1Z602A8W0304664882),$49.68,$0.00,$0.00,$0.00,$0.00,$49.68
07/30/13,002-9387624-4820251,Visa - 4427,Amazon.com,07/30/13,MA,01970-1252,Shipped,SMARTPOST(9274890100131309683846),$9.07,$0.00,$0.00,$0.00,$0.00,$9.07
08/02/13,002-4392012-7446617,Visa - 2507,Amazon.com,08/03/13,MA,1970,Shipped,SMARTPOST(9274897642094920971955),$6.48,$0.00,$0.00,$0.00,$0.00,$6.48
08/26/13,112-6099673-5616256,Visa - 4427,Amazon.com,08/27/13,California,90007,Shipped,UPS(1Z85V8600337358218),$30.76,$0.00,$2.77,$0.00,$2.77,$33.53
08/26/13,112-6099673-5616256,Visa - 4427,Amazon.com,08/27/13,California,90007,Shipped,ONTRAC(C11121574850087),$41.11,$0.00,$3.70,$0.00,$3.70,$44.81
08/29/13,112-4406503-4688213,Gift Certificate/Card and Visa - 4427,Amazon.com,08/30/13,California,90007,Shipped,FEDEX(568114563589),$72.88,$0.00,$6.55,$0.00,$6.55,$79.43
08/29/13,112-4406503-4688213,Gift Certificate/Card and Visa - 4427,Amazon.com,08/30/13,California,90007,Shipped,USPS(9205590105244310341743),$11.29,$0.00,$1.02,$0.00,$1.02,$12.31
08/30/13,112-2867017-9584245,Visa - 4427,Amazon.com,08/31/13,California,90007,Shipped,UPS(1ZW0Y0810338287751),$31.10,$0.00,$2.80,$0.00,$2.80,$33.90
09/10/13,112-1836701-8308209,Visa - 4427,Amazon.com,09/11/13,California,90007,Shipped,UPS(1Z17RV330353912770),$7.49,$0.00,$0.67,$0.00,$0.67,$8.16
09/10/13,112-8049154-4141024,Visa - 4427,Amazon.com,09/11/13,California,90007,Shipped,USPS(9400110200882894363590),$14.00,$2.49,$1.26,$0.00,$1.26,$17.75
09/10/13,112-5560733-4509832,Visa - 2507,Amazon.com,09/11/13,MA,1970,Shipped,LASERSHIP(LP12028007),$88.14,$0.00,$0.00,$0.00,$0.00,$88.14
09/13/13,112-2843588-7413028,Visa - 4427,Amazon.com,09/16/13,California,90007,Shipped,USPS(9341989949158100390257),$13.80,$0.00,$1.24,$0.00,$1.24,$15.04
09/16/13,112-3464559-1273823,Visa - 4427,Amazon.com,09/18/13,California,90007,Shipped,FedEx(02931505596064089176),$5.51,$7.98,$1.01,$0.00,$1.01,$14.50
09/16/13,112-7743093-8536253,Visa - 4427,Amazon.com,09/17/13,California,90007,Shipped,"USPS(LN120097160CN),USPS(LN120097160CN)",$22.94,$0.00,$0.00,$0.00,$0.00,$22.94
10/04/13,110-0982256-5497029,Visa - 4427,Amazon.com,10/04/13,California,90007,Shipped,USPS(9361289949110100979820),$97.75,$0.00,$3.93,$0.00,$3.93,$101.68
10/04/13,110-0982256-5497029,Visa - 4427,Amazon.com,10/05/13,California,90007,Shipped,USPS(9374889949124101383919),$7.09,$0.00,$0.64,$0.00,$0.64,$7.73
10/15/13,110-9050301-0565061,Visa - 4427,Amazon.com,10/15/13,California,90007,Shipped,ONTRAC(C11121585783136),$17.35,$0.00,$1.51,$0.50,$1.51,$18.36
10/15/13,110-9050301-0565061,Visa - 4427,Amazon.com,10/15/13,California,90007,Shipped,UPS(1Z602AW60272777518),$9.90,$0.00,$0.00,$0.00,$0.00,$9.90
10/19/13,110-3317465-1035466,Visa - 4427,Amazon.com,10/21/13,MA,01970-1252,Shipped,SMARTPOST(9274890100131314316166),$7.99,$0.00,$0.00,$0.00,$0.00,$7.99
10/22/13,110-3901314-2137809,Visa - 4427,Amazon.com,10/23/13,California,90007,Shipped,USPS(9400110200882940240950),$5.64,$4.00,$0.00,$0.00,$0.00,$9.64
